show_id;type;title;director;date_added;release_year;rating_ages;description;time;unit_time
s1;Movie;Dick Johnson Is Dead;Kirsten Johnson;2021-09-25;2020;Teens;As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.;90;Minutes
s2;TV Show;Blood & Water;Unknown;2021-09-24;2021;Adults;After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.;2;Seasons
s3;TV Show;Ganglands;Julien Leclercq;2021-09-24;2021;Adults;To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.;1;Seasons
s4;TV Show;Jailbirds New Orleans;Unknown;2021-09-24;2021;Adults;Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.;1;Seasons
s5;TV Show;Kota Factory;Unknown;2021-09-24;2021;Adults;In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.;2;Seasons
s6;TV Show;Midnight Mass;Mike Flanagan;2021-09-24;2021;Adults;The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.;1;Seasons
s7;Movie;My Little Pony: A New Generation;Robert Cullen, José Luis Ucha;2021-09-24;2021;Older Kids;Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.;91;Minutes
s8;Movie;Sankofa;Haile Gerima;2021-09-24;1993;Adults;On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.;125;Minutes
s9;TV Show;The Great British Baking Show;Andy Devonshire;2021-09-24;2021;Teens;A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.;9;Seasons
s10;Movie;The Starling;Theodore Melfi;2021-09-24;2021;Teens;A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.;104;Minutes
s11;TV Show;Vendetta: Truth, Lies and The Mafia;Unknown;2021-09-24;2021;Adults;Sicily boasts a bold Anti-Mafia coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?;1;Seasons
s12;TV Show;Bangkok Breaking;Kongkiat Komesiri;2021-09-23;2021;Adults;Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.;1;Seasons
s13;Movie;Je Suis Karl;Christian Schwochow;2021-09-23;2021;Adults;After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.;127;Minutes
s14;Movie;Confessions of an Invisible Girl;Bruno Garotti;2021-09-22;2021;Older Kids;When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.;91;Minutes
s15;TV Show;Crime Stories: India Detectives;Unknown;2021-09-22;2021;Adults;Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.;1;Seasons
s16;TV Show;Dear White People;Unknown;2021-09-22;2021;Adults;Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as post-racial as it thinks.;4;Seasons
s17;Movie;Europe's Most Dangerous Man: Otto Skorzeny in Spain;Pedro de Echave García, Pablo Azorín Williams;2021-09-22;2020;Adults;Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.;67;Minutes
s18;TV Show;Falsa identidad;Unknown;2021-09-22;2020;Adults;Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.;2;Seasons
s19;Movie;Intrusion;Adam Salky;2021-09-22;2021;Teens;After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.;94;Minutes
s20;TV Show;Jaguar;Unknown;2021-09-22;2021;Adults;In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.;1;Seasons
s21;TV Show;Monsters Inside: The 24 Faces of Billy Milligan;Olivier Megaton;2021-09-22;2021;Teens;In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.;1;Seasons
s22;TV Show;Resurrection: Ertugrul;Unknown;2021-09-22;2018;Teens;When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.;5;Seasons
s23;Movie;Avvai Shanmughi;K.S. Ravikumar;2021-09-21;1996;Older Kids;Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.;161;Minutes
s24;Movie;Go! Go! Cory Carson: Chrissy Takes the Wheel;Alex Woo, Stanley Moore;2021-09-21;2021;Kids;From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!;61;Minutes
s25;Movie;Jeans;S. Shankar;2021-09-21;1998;Teens;When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.;166;Minutes
s26;TV Show;Love on the Spectrum;Unknown;2021-09-21;2021;Teens;Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.;2;Seasons
s27;Movie;Minsara Kanavu;Rajiv Menon;2021-09-21;1997;Older Kids;A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.;147;Minutes
s28;Movie;Grown Ups;Dennis Dugan;2021-09-20;2010;Teens;Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.;103;Minutes
s29;Movie;Dark Skies;Scott Stewart;2021-09-19;2013;Teens;A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.;97;Minutes
s30;Movie;Paranoia;Robert Luketic;2021-09-19;2013;Teens;Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.;106;Minutes
